Time,Arduino_hall_probe/TEMP:TEMP,time,mag
1746224208,21.69,1746224208,2.4689
1746224210,21.71,1746224210,2.4773
1746224212,21.77,1746224212,2.457
1746224214,21.67,1746224214,2.4556
1746224216,21.56,1746224216,2.4696
1746224220,21.69,1746224220,2.443
1746224222,21.64,1746224222,2.4668
1746224224,21.69,1746224224,2.4549
1746224226,21.64,1746224226,2.4535
1746224228,21.74,1746224228,2.4521
1746224230,21.76,1746224230,2.4703
1746224232,21.67,1746224232,2.4808
1746224234,21.57,1746224234,2.4745
1746224236,21.52,1746224236,2.4619
1746224238,21.66,1746224238,2.4514
1746224240,21.59,1746224240,2.4255
1746224242,21.62,1746224242,2.4689
1746224244,21.72,1746224244,2.4752
1746224246,21.79,1746224246,2.471
1746224248,21.92,1746224248,2.4591
1746224250,21.79,1746224250,2.4717
1746224252,21.61,1746224252,2.4836
1746224254,21.96,1746224254,2.4563
1746224256,21.66,1746224256,2.4794
1746224258,21.67,1746224258,2.4591
1746224260,21.59,1746224260,2.4948
1746224262,21.92,1746224262,2.4395
1746224264,21.72,1746224264,2.4514
1746224266,21.74,1746224266,2.4507
1746224268,21.81,1746224268,2.4724
1746224270,21.91,1746224270,2.4605
1746224272,21.92,1746224272,2.4892
1746224274,21.67,1746224274,2.4731
1746224276,21.77,1746224276,2.4815
1746224278,21.74,1746224278,2.4619
1746224280,21.76,1746224280,2.4696
1746224282,21.69,1746224282,2.4689
1746224284,21.87,1746224284,2.7944
1746224286,21.82,1746224286,2.8238
1746224288,21.71,1746224288,2.7923
1746224290,21.87,1746224290,2.8189
1746224292,21.69,1746224292,2.7972
1746224294,21.84,1746224294,2.8154
1746224296,21.69,1746224296,2.8035
1746224298,21.59,1746224298,2.8168
1746224300,21.91,1746224300,2.8028
1746224302,21.86,1746224302,2.8007
1746224304,21.79,1746224304,2.7846
1746224306,21.81,1746224306,2.7986
1746224308,21.99,1746224308,2.9043
1746224310,21.82,1746224310,3.0632
1746224312,21.94,1746224312,3.3397
1746224314,21.61,1746224314,3.3145
1746224316,21.76,1746224316,3.2823
1746224318,21.89,1746224318,3.3285
1746224320,21.97,1746224320,3.325
1746224322,22.09,1746224322,3.3271
1746224324,22,1746224324,3.3341
1746224326,21.97,1746224326,3.3089
1746224328,22.14,1746224328,3.2942
1746224330,22.05,1746224330,3.3068
1746224332,21.97,1746224332,3.2571
1746224334,22.32,1746224334,3.304
1746224336,22.14,1746224336,3.3075
1746224338,21.96,1746224338,3.2991
1746224340,21.92,1746224340,3.2865
1746224342,22.17,1746224342,3.3607
1746224344,22.2,1746224344,3.3313
1746224346,22.15,1746224346,3.332
1746224348,22.1,1746224348,3.3215
1746224350,22.29,1746224350,3.3348
1746224352,22.24,1746224352,3.3467
1746224354,22.22,1746224354,3.3271
1746224356,22.22,1746224356,3.3173
1746224358,22.27,1746224358,3.3208
1746224360,22.22,1746224360,3.3215
1746224362,22.19,1746224362,3.3068
1746224364,21.89,1746224364,3.3425
1746224366,21.77,1746224366,3.3397
1746224368,22.07,1746224368,3.3264
1746224370,21.79,1746224370,3.3789
1746224372,22.1,1746224372,3.3411
1746224374,22.15,1746224374,4.9714
1746224376,22,1746224376,5.838
1746224378,21.97,1746224378,4.655
1746224380,22.05,1746224380,4.5276
1746224382,21.91,1746224382,4.6011
1746224384,21.92,1746224384,4.641
1746224386,21.94,1746224386,4.564
1746224388,21.92,1746224388,4.6445
1746224390,21.82,1746224390,4.613
1746224392,22,1746224392,4.57233
1746224394,21.94,1746224394,4.5899
1746224396,22.1,1746224396,4.6004
1746224398,21.81,1746224398,4.6088
1746224400,21.94,1746224400,4.5948
1746224402,21.96,1746224402,4.592
1746224404,22.02,1746224404,4.6046
1746224406,21.87,1746224406,4.6207
1746224408,21.89,1746224408,4.6123
1746224410,21.87,1746224410,4.6221
