Time,Arduino_hall_probe/TEMP:TEMP,time,mag
1746224192,21.76,1746224192,-0.05939
1746224194,21.71,1746224194,-0.09407
1746224196,21.72,1746224196,-0.06857
1746224198,21.67,1746224198,-0.07877
1746224200,21.81,1746224200,-0.09305
1746224202,21.92,1746224202,-0.10325
1746224204,21.64,1746224204,-0.09101
1746224206,21.76,1746224206,-0.08387
1746224208,21.69,1746224208,-0.07163
1746224210,21.71,1746224210,-0.05939
1746224212,21.77,1746224212,-0.08897
1746224214,21.67,1746224214,-0.09101
1746224216,21.56,1746224216,-0.07061
1746224218,21.69,1746224218,-0.07877
1746224220,21.69,1746224220,-0.10937
1746224222,21.64,1746224222,-0.07469
1746224224,21.69,1746224224,-0.09203
1746224226,21.64,1746224226,-0.09407
1746224228,21.74,1746224228,-0.09611
1746224230,21.76,1746224230,-0.06959
1746224232,21.67,1746224232,-0.05429
1746224234,21.57,1746224234,-0.06347
1746224236,21.52,1746224236,-0.08183
1746224238,21.66,1746224238,-0.09713
1746224240,21.59,1746224240,-0.13487
1746224242,21.62,1746224242,-0.07163
1746224244,21.72,1746224244,-0.06245
1746224246,21.79,1746224246,-0.06857
1746224248,21.92,1746224248,-0.08591
1746224250,21.79,1746224250,-0.06755
1746224252,21.61,1746224252,-0.05021
1746224254,21.96,1746224254,-0.08999
1746224256,21.66,1746224256,-0.05633
1746224258,21.67,1746224258,-0.08591
1746224260,21.59,1746224260,-0.03389
1746224262,21.92,1746224262,-0.11447
1746224264,21.72,1746224264,-0.09713
1746224266,21.74,1746224266,-0.09815
1746224268,21.81,1746224268,-0.06653
1746224270,21.91,1746224270,-0.08387
1746224272,21.92,1746224272,-0.04205
1746224274,21.67,1746224274,-0.06551
1746224276,21.77,1746224276,-0.05327
1746224278,21.74,1746224278,-0.08183
1746224280,21.76,1746224280,-0.07061
1746224282,21.69,1746224282,-0.07163
1746224284,21.87,1746224284,0.4026700000000001
1746224286,21.82,1746224286,0.4455100000000001
1746224288,21.71,1746224288,0.39961000000000046
1746224290,21.87,1746224290,0.43837000000000037
1746224292,21.69,1746224292,0.40675000000000017
1746224294,21.84,1746224294,0.4332699999999998
1746224296,21.69,1746224296,0.4159299999999999
1746224298,21.59,1746224298,0.43530999999999986
1746224300,21.91,1746224300,0.41491000000000033
1746224302,21.86,1746224302,0.4118499999999998
1746224304,21.79,1746224304,0.3883899999999998
1746224306,21.81,1746224306,0.4087900000000002
1746224308,21.99,1746224308,0.5628100000000003
1746224310,21.82,1746224310,0.7943500000000001
1746224312,21.94,1746224312,1.19725
1746224314,21.61,1746224314,1.16053
1746224316,21.76,1746224316,1.11361
1746224318,21.89,1746224318,1.1809300000000005
1746224320,21.97,1746224320,1.17583
1746224322,22.09,1746224322,1.1788900000000004
1746224324,22,1746224324,1.1890899999999998
1746224326,21.97,1746224326,1.15237
1746224328,22.14,1746224328,1.13095
1746224330,22.05,1746224330,1.1493100000000003
1746224332,21.97,1746224332,1.0768900000000001
1746224334,22.32,1746224334,1.1452300000000002
1746224336,22.14,1746224336,1.1503299999999999
1746224338,21.96,1746224338,1.1380900000000005
1746224340,21.92,1746224340,1.1197300000000001
1746224342,22.17,1746224342,1.2278500000000006
1746224344,22.2,1746224344,1.1850100000000006
1746224346,22.15,1746224346,1.1860300000000001
1746224348,22.1,1746224348,1.1707300000000003
1746224350,22.29,1746224350,1.1901100000000002
1746224352,22.24,1746224352,1.2074500000000001
1746224354,22.22,1746224354,1.1788900000000004
1746224356,22.22,1746224356,1.1646100000000001
1746224358,22.27,1746224358,1.1697099999999998
1746224360,22.22,1746224360,1.1707300000000003
1746224362,22.19,1746224362,1.1493100000000003
1746224364,21.89,1746224364,1.20133
1746224366,21.77,1746224366,1.19725
1746224368,22.07,1746224368,1.17787
1746224370,21.79,1746224370,1.2543700000000002
1746224372,22.1,1746224372,1.19929
1746224374,22.15,1746224374,3.57487
1746224376,22,1746224376,4.837630000000001
1746224378,21.97,1746224378,3.1138300000000005
1746224380,22.05,1746224380,2.9281900000000003
1746224382,21.91,1746224382,3.0352900000000003
1746224384,21.92,1746224384,3.09343
1746224386,21.94,1746224386,2.9812300000000005
1746224388,21.92,1746224388,3.09853
1746224390,21.82,1746224390,3.05263
1746224392,22,1746224392,2.993368
1746224394,21.94,1746224394,3.01897
1746224396,22.1,1746224396,3.03427
1746224398,21.81,1746224398,3.04651
1746224400,21.94,1746224400,3.0261100000000005
1746224402,21.96,1746224402,3.0220300000000004
1746224404,22.02,1746224404,3.04039
1746224406,21.87,1746224406,3.06385
1746224408,21.89,1746224408,3.0516099999999997
1746224410,21.87,1746224410,3.06589
1746224412,21.94,1746224412,3.0842500000000004
1746224414,21.82,1746224414,3.10057
1746224416,21.76,1746224416,3.0199900000000004
1746224418,21.77,1746224418,3.02713
1746224420,21.72,1746224420,3.0352900000000003
1746224422,21.97,1746224422,3.0801700000000003
1746224424,22.02,1746224424,3.0434500000000004
1746224426,21.92,1746224426,3.05569
1746224428,21.76,1746224428,2.7741700000000002
1746224430,21.74,1746224430,3.07915
1746224432,21.82,1746224432,3.11689
1746224434,21.82,1746224434,3.1097500000000005
1746224436,21.81,1746224436,2.88841
1746224438,21.94,1746224438,6.072850000000001
1746224440,21.89,1746224440,8.283190000000001
1746224442,22,1746224442,6.824590000000001
1746224444,21.77,1746224444,7.147930000000001
1746224446,21.41,1746224446,7.273390000000001
1746224448,21.91,1746224448,6.966370000000001
1746224450,21.87,1746224450,6.973510000000001
1746224452,21.71,1746224452,7.36111
1746224454,21.82,1746224454,6.98779
1746224456,21.84,1746224456,6.954130000000001
1746224458,21.86,1746224458,7.382530000000001
1746224460,21.74,1746224460,7.33459
1746224462,21.67,1746224462,6.97861
1746224464,21.81,1746224464,7.402930000000001
1746224466,21.72,1746224466,6.90109
1746224468,21.81,1746224468,6.97453
1746224470,21.81,1746224470,6.99799
1746224472,21.82,1746224472,7.001050000000001
1746224474,21.86,1746224474,6.693010000000001
1746224476,21.92,1746224476,7.08877
1746224478,22.02,1746224478,6.8868100000000005
1746224480,21.91,1746224480,7.33357
1746224482,21.71,1746224482,7.26727
1746224484,21.82,1746224484,7.297870000000001
1746224486,21.99,1746224486,6.596110000000001
1746224488,21.97,1746224488,6.478810000000001
1746224490,21.97,1746224490,8.39947
1746224492,21.89,1746224492,5.15485
1746224494,21.91,1746224494,6.549190000000001
1746224496,21.92,1746224496,6.452290000000001
1746224498,21.91,1746224498,6.580810000000001
1746224500,21.87,1746224500,6.604270000000001
