Time,Arduino_hall_probe/TEMP:TEMP,time,mag
1752880692,21.56,1752880692,-0.00533
1752880694,21.51,1752880694,0.00691
1752880696,21.49,1752880696,0.00079
1752880698,21.36,1752880698,-0.01349
1752880700,21.47,1752880700,-0.03287
1752880702,21.42,1752880702,-0.01961
1752880704,21.39,1752880704,-0.06041
1752880706,21.49,1752880706,-0.03899
1752880708,21.47,1752880708,0.020170000000000243
1752880710,21.34,1752880710,-0.00737
1752880712,21.36,1752880712,-0.03185
1752880714,21.61,1752880714,0.00997
1752880716,21.42,1752880716,-0.05531
1752880718,21.39,1752880718,-0.01451
1752880720,21.42,1752880720,-0.05225
1752880722,21.32,1752880722,-0.00533
1752880724,21.42,1752880724,-0.01349
1752880726,21.41,1752880726,-0.01349
1752880728,21.46,1752880728,0.00181
1752880730,21.51,1752880730,-0.02573
1752880732,21.44,1752880732,-0.01757
1752880734,21.46,1752880734,-0.03287
1752880736,21.42,1752880736,-0.04001
1752880738,21.44,1752880738,-0.04205
1752880740,21.54,1752880740,-0.02573
1752880742,21.32,1752880742,0.00181
1752880744,21.42,1752880744,-0.00737
1752880746,21.46,1752880746,-0.02675
1752880748,21.47,1752880748,-0.03389
1752880750,21.32,1752880750,-0.02471
1752880752,21.32,1752880752,-0.02879
1752880754,21.49,1752880754,-0.00941
1752880756,21.34,1752880756,-0.02369
1752880758,25.45,1752880758,-0.02165
1752880760,21.37,1752880760,-0.02369
1752880762,21.52,1752880762,-0.01757
1752880764,21.36,1752880764,0.00793
1752880766,21.26,1752880766,-0.01043
1752880768,21.49,1752880768,-0.00635
1752880770,21.42,1752880770,0.00283
1752880772,21.34,1752880772,-0.05123
1752880774,21.49,1752880774,-0.03899
1752880776,21.42,1752880776,-0.02165
1752880778,21.42,1752880778,-0.02675
1752880780,21.51,1752880780,-0.02777
1752880781,21.49,1752880782,-0.00431
1752880783,21.47,1752880783,-0.00533
1752880785,21.66,1752880785,-0.01145
1752880787,21.51,1752880787,-0.03491
1752880789,21.59,1752880789,0.00691
1752880791,21.59,1752880791,0.00589
1752880793,21.36,1752880793,0.020170000000000243
1752880795,21.49,1752880795,0.025270000000000348
1752880797,21.47,1752880797,-0.01043
1752880799,21.54,1752880799,-0.04205
1752880801,21.66,1752880801,-0.05735
1752880803,21.37,1752880803,-0.00839
1752880805,21.54,1752880805,-0.00227
1752880807,21.44,1752880807,2.79865
1752880809,21.59,1752880809,2.8404700000000003
1752880811,21.39,1752880811,2.82007
1752880813,21.44,1752880813,2.8251700000000004
1752880815,21.51,1752880815,2.83639
1752880817,21.59,1752880817,2.81089
1752880819,21.59,1752880819,2.8078300000000005
1752880821,21.59,1752880821,2.96491
1752880823,21.79,1752880823,3.70645
1752880825,21.96,1752880825,2.8384300000000002
1752880827,21.86,1752880827,2.9904100000000002
1752880829,21.89,1752880829,3.44023
1752880831,21.94,1752880831,3.3841300000000003
1752880833,21.92,1752880833,3.3514900000000005
1752880835,21.97,1752880835,3.36577
1752880837,22.17,1752880837,3.3178300000000003
1752880839,22.07,1752880839,3.40657
1752880841,22.02,1752880841,3.43207
1752880843,22.15,1752880843,3.4310500000000004
1752880845,21.97,1752880845,3.40861
1752880847,21.89,1752880847,3.42595
1752880849,22.04,1752880849,3.4606300000000005
1752880851,22.04,1752880851,3.35659
1752880853,21.94,1752880853,3.39739
1752880855,22.02,1752880855,3.4861299999999997
1752880857,21.81,1752880857,3.55855
1752880859,22.04,1752880859,3.5055099999999997
1752880861,21.91,1752880861,3.35659
1752880863,22.02,1752880863,6.751150000000001
1752880865,22.02,1752880865,8.70547
1752880867,21.99,1752880867,8.98699
1752880869,21.81,1752880869,9.03697
1752880871,21.94,1752880871,8.996170000000001
1752880873,21.94,1752880873,9.047170000000001
1752880875,22.15,1752880875,8.988010000000001
1752880877,22.04,1752880877,8.90335
1752880879,21.87,1752880879,9.02881
1752880881,22.05,1752880881,8.98291
1752880883,22,1752880883,8.98393
1752880885,22.04,1752880885,9.051250000000001
1752880887,22.15,1752880887,9.04921
1752880889,22.14,1752880889,9.08389
1752880891,22,1752880891,9.062470000000001
1752880893,21.97,1752880893,8.98393
1752880895,22.02,1752880895,9.01657
1752880897,22.04,1752880897,9.06757
1752880899,21.96,1752880899,9.03799
1752880901,22.05,1752880901,8.976790000000001
1752880903,22.14,1752880903,9.77239
1752880905,22.19,1752880905,10.702630000000001
1752880907,21.99,1752880907,18.78307
1752880909,22.05,1752880909,17.821209999999997
1752880911,21.91,1752880911,19.699029999999997
1752880913,22.09,1752880913,19.888749999999998
1752880915,21.86,1752880915,19.94689
1752880917,21.74,1752880917,19.98565
1752880919,22,1752880919,19.95199
1752880921,21.94,1752880921,17.80489
1752880923,21.86,1752880923,19.934649999999998
1752880925,21.87,1752880925,17.78041
1752880927,21.89,1752880927,19.972389999999997
1752880929,21.96,1752880929,17.89057
1752880931,21.77,1752880931,17.63965
1752880933,21.94,1752880933,19.98259
1752880935,21.86,1752880935,19.847949999999997
1752880937,21.67,1752880937,19.871409999999997
1752880939,21.96,1752880939,19.99993
1752880941,21.94,1752880941,14.119629999999999
1752880943,21.89,1752880943,14.13085
1752880945,22.2,1752880945,15.520090000000001
1752880947,22.07,1752880947,15.50785
1752880949,22.1,1752880949,15.459909999999999
1752880951,22.05,1752880951,15.44767
1752880953,22.14,1752880953,15.77509
1752880955,21.92,1752880955,28.59037
1752880957,21.84,1752880957,38.267109999999995
1752880959,21.86,1752880959,44.19637
1752880961,21.94,1752880961,44.09845
1752880963,21.89,1752880963,46.07929
1752880965,21.87,1752880965,45.87325
1752880967,21.89,1752880967,45.86917
1752880969,21.92,1752880969,46.085409999999996
1752880971,21.86,1752880971,44.25757
1752880973,22.07,1752880973,44.16985
1752880975,21.91,1752880975,44.14129
1752880977,21.99,1752880977,46.263909999999996
1752880979,22.15,1752880979,44.182089999999995
1752880981,22.07,1752880981,44.23513
1752880983,22.02,1752880983,46.12723
1752880985,21.99,1752880985,46.13743
1752880987,22.07,1752880987,46.08439
1752880989,22.09,1752880989,41.22103
1752880991,22,1752880991,73.10215000000001
1752880993,22.05,1752880993,82.20565
1752880995,21.87,1752880995,83.60815000000001
1752880997,22.14,1752880997,81.04591
1752880999,22.09,1752880999,83.42353
1752881001,22.07,1752881001,83.62753000000001
1752881003,21.99,1752881003,83.80195
1752881005,21.91,1752881005,83.66119
1752881007,22.12,1752881007,83.80603
1752881009,21.94,1752881009,83.75605
1752881011,22.1,1752881011,83.96413000000001
1752881013,22.14,1752881013,84.11509000000001
1752881015,22.05,1752881015,83.95189
1752881017,22.14,1752881017,83.89477000000001
1752881019,22,1752881019,83.95597000000001
1752881021,22.02,1752881021,84.04165
1752881023,22.04,1752881023,84.07735000000001
1752881025,22.07,1752881025,80.80213
1752881027,22.07,1752881027,114.82321
1752881029,22.07,1752881029,117.47419000000001
1752881031,22.05,1752881031,115.86463
1752881033,22.12,1752881033,115.79527
1752881035,22.05,1752881035,114.79057
1752881037,22.05,1752881037,115.43521000000001
1752881039,21.87,1752881039,112.69141
1752881041,21.94,1752881041,112.52311
1752881043,22.07,1752881043,115.53313
1752881045,21.96,1752881045,112.63123
1752881047,21.99,1752881047,115.13533000000001
1752881049,22,1752881049,112.81177000000001
1752881051,21.99,1752881051,112.57513
1752881053,22.07,1752881053,112.68223
1752881055,22.02,1752881055,112.58227000000001
1752881057,22,1752881057,115.05883
1752881059,21.99,1752881059,114.86197
1752881061,22.1,1752881061,117.71695000000001
1752881063,22.12,1752881063,115.47907000000001
1752881065,21.91,1752881065,109.35091
1752881067,21.96,1752881067,109.31725
1752881069,22.05,1752881069,109.47535
1752881071,22,1752881071,108.83989000000001
1752881073,21.91,1752881073,108.88885
1752881075,22.15,1752881075,106.65913
1752881077,22.14,1752881077,106.03081
1752881079,22.29,1752881079,106.11241000000001
1752881081,21.96,1752881081,105.85843
1752881083,22.15,1752881083,106.05019
1752881085,22.09,1752881085,105.85537000000001
1752881087,22.05,1752881087,106.16647
1752881089,22.04,1752881089,106.56121
1752881091,21.91,1752881091,106.02265
1752881093,22.04,1752881093,119.25307000000001
1752881095,22.1,1752881095,136.70526999999998
1752881097,22.02,1752881097,136.74709
1752881099,21.96,1752881099,136.83583
1752881101,21.96,1752881101,136.84501
1752881103,21.97,1752881103,114.15001000000001
1752881105,22.25,1752881105,91.33465000000001
1752881107,21.92,1752881107,74.46997
1752881109,22.22,1752881109,72.06685
1752881111,21.87,1752881111,71.98627
1752881113,21.89,1752881113,71.74249
1752881115,21.96,1752881115,73.61623
1752881117,22.07,1752881117,73.64887
1752881119,21.97,1752881119,73.71313
1752881121,22,1752881121,73.72435
1752881123,22.02,1752881123,73.63969
1752881125,22.05,1752881125,73.36735
1752881127,22.05,1752881127,73.49893
1752881129,22.04,1752881129,73.44691
1752881131,21.97,1752881131,73.21843000000001
1752881133,21.94,1752881133,73.30207
1752881135,22.09,1752881135,73.42753
1752881137,22.14,1752881137,73.44079
1752881139,22.02,1752881139,78.88453000000001
1752881141,22.04,1752881141,37.69081
1752881143,22.04,1752881143,31.77787
1752881145,22.25,1752881145,31.563670000000002
1752881147,22.25,1752881147,33.46495
1752881149,22.19,1752881149,33.44659
1752881151,22.29,1752881151,33.33031
1752881153,22.27,1752881153,32.89681
1752881155,22.15,1752881155,32.84377
1752881157,22.19,1752881157,32.805009999999996
1752881159,22.19,1752881159,32.750949999999996
1752881161,22.24,1752881161,32.78971
1752881163,22.15,1752881163,32.75503
1752881165,22.19,1752881165,32.82337
1752881167,22.19,1752881167,32.711169999999996
1752881169,22.27,1752881169,32.79685
1752881171,22.32,1752881171,32.73871
1752881173,22.14,1752881173,31.90231
1752881175,22.35,1752881175,15.28447
1752881177,22.2,1752881177,15.333430000000002
1752881179,22.2,1752881179,15.340570000000001
1752881181,21.87,1752881181,15.22225
1752881183,22.04,1752881183,15.169210000000001
1752881185,22.02,1752881185,15.036610000000001
1752881187,22.09,1752881187,15.044770000000002
1752881189,22.04,1752881189,15.004990000000001
1752881191,21.86,1752881191,14.99581
1752881193,22.07,1752881193,15.01213
1752881195,21.84,1752881195,15.04885
1752881197,22.02,1752881197,15.05089
1752881199,21.91,1752881199,15.03967
1752881201,22.07,1752881201,15.07333
1752881203,22.12,1752881203,14.952969999999999
1752881205,22.04,1752881205,14.99275
1752881207,21.92,1752881207,16.10557
1752881209,21.97,1752881209,15.74959
1752881211,22.09,1752881211,15.73429
1752881213,22.27,1752881213,15.785290000000002
1752881215,22.42,1752881215,15.753670000000001
1752881217,22.59,1752881217,15.74245
1752881219,22.34,1752881219,15.74959
1752881221,22.42,1752881221,16.652289999999997
1752881223,22.32,1752881223,13.798330000000002
1752881225,22.39,1752881225,9.81625
1752881227,22.35,1752881227,7.49779
1752881228,22.25,1752881228,8.19037
1752881230,21.99,1752881230,8.381110000000001
1752881232,21.99,1752881232,8.52799
1752881234,21.97,1752881234,8.578990000000001
1752881236,22.12,1752881236,8.65447
1752881238,21.86,1752881238,8.26585
1752881240,21.86,1752881240,7.85581
1752881242,21.89,1752881242,8.169970000000001
1752881244,21.91,1752881244,8.19445
1752881246,21.87,1752881246,8.15365
1752881248,21.84,1752881248,8.23117
1752881250,21.76,1752881250,8.22199
1752881252,21.97,1752881252,7.82929
1752881254,22.05,1752881254,7.745650000000001
1752881256,22.25,1752881256,8.93599
1752881258,22,1752881258,2.988268
1752881260,21.86,1752881260,3.19849
1752881262,21.74,1752881262,3.43819
1752881264,21.84,1752881264,2.7904899999999997
1752881266,21.81,1752881266,3.34843
1752881268,21.87,1752881268,3.3494500000000005
1752881270,21.99,1752881270,3.3606700000000003
1752881272,22.02,1752881272,3.32497
1752881274,21.92,1752881274,2.70583
1752881276,21.77,1752881276,3.36985
1752881278,22,1752881278,3.3586300000000002
1752881280,22.05,1752881280,3.3392500000000003
1752881282,21.96,1752881282,3.30763
1752881284,22.15,1752881284,3.2168500000000004
1752881286,21.84,1752881286,3.2362300000000004
1752881288,21.97,1752881288,3.1638100000000002
1752881290,21.92,1752881290,3.15157
1752881292,21.92,1752881292,3.37597
1752881294,22.32,1752881294,-0.17669
1752881296,22.2,1752881296,1.2594699999999999
1752881298,22.17,1752881298,1.43491
1752881300,22.05,1752881300,1.3675900000000003
1752881302,22.09,1752881302,1.3247500000000003
1752881304,22.15,1752881304,1.26967
1752881306,22.1,1752881306,1.2288700000000001
1752881308,21.94,1752881308,1.33393
1752881310,21.91,1752881310,1.3410699999999998
1752881312,21.87,1752881312,1.3757500000000005
1752881314,21.96,1752881314,1.31251
1752881316,22.04,1752881316,1.30435
1752881318,21.92,1752881318,1.1860300000000001
1752881320,21.97,1752881320,1.2431500000000004
1752881322,22.04,1752881322,1.2125499999999998
1752881324,22.12,1752881324,1.2023500000000005
1752881326,22.14,1752881326,1.1952099999999999
1752881328,21.77,1752881328,1.1452300000000002
1752881330,22,1752881330,1.13503
1752881332,22.12,1752881332,1.1401300000000005
1752881334,21.94,1752881334,1.1146300000000005
1752881336,22.02,1752881336,0.3445300000000002
1752881338,21.97,1752881338,0.28129000000000026
1752881340,22.15,1752881340,2.08363
1752881342,22.37,1752881342,0.30984999999999996
1752881344,22.12,1752881344,0.29353000000000007
1752881346,22.1,1752881346,-0.349172
1752881348,22.17,1752881348,-0.334892
1752881350,22.19,1752881350,-0.34499
1752881352,22.34,1752881352,0.2792500000000002
1752881354,22.17,1752881354,-0.35519
1752881356,22.34,1752881356,0.2843500000000003
1752881358,22.17,1752881358,-0.353252
1752881360,22.34,1752881360,1.54405
1752881362,22.42,1752881362,2.2407100000000004
1752881364,22.04,1752881364,2.1274900000000003
1752881366,22.09,1752881366,2.04487
1752881368,22.15,1752881368,1.94185
1752881370,22.1,1752881370,1.97653
1752881372,22.05,1752881372,1.94185
1752881374,22,1752881374,1.89697
1752881376,22.12,1752881376,1.9408300000000005
1752881378,22.02,1752881378,1.9489899999999998
1752881380,22.05,1752881380,1.9602100000000005
1752881382,22.07,1752881382,2.0030500000000004
1752881384,22,1752881384,1.9714300000000002
1752881386,21.96,1752881386,1.9489899999999998
1752881388,22.17,1752881388,1.9530699999999999
