in s,C3 in V
-9.9987200E-05,4.58984E-02
-9.9978000E-05,6.54297E-02
-9.9968800E-05,3.61328E-02
-9.9959600E-05,-2.24609E-02
-9.9950400E-05,4.58984E-02
-9.9941200E-05,3.61328E-02
-9.9932000E-05,-2.24609E-02
-9.9922800E-05,5.56641E-02
-9.9913600E-05,3.61328E-02
-9.9904400E-05,-1.26953E-02
-9.9895200E-05,3.61328E-02
-9.9886000E-05,-2.24609E-02
-9.9876800E-05,1.66016E-02
-9.9867600E-05,3.61328E-02
-9.9858400E-05,5.56641E-02
-9.9849200E-05,-2.24609E-02
-9.9840000E-05,1.66016E-02
-9.9830800E-05,-2.92969E-03
-9.9821600E-05,4.58984E-02
-9.9812400E-05,-2.92969E-03
-9.9803200E-05,3.61328E-02
-9.9794000E-05,4.58984E-02
-9.9784800E-05,1.66016E-02
-9.9775600E-05,2.63672E-02
-9.9766400E-05,4.58984E-02
-9.9757200E-05,-3.22266E-02
-9.9748000E-05,2.63672E-02
-9.9738800E-05,3.61328E-02
-9.9729600E-05,6.83594E-03
-9.9720400E-05,2.63672E-02
-9.9711200E-05,3.61328E-02
-9.9702000E-05,5.56641E-02
-9.9692800E-05,7.51953E-02
-9.9683600E-05,2.63672E-02
-9.9674400E-05,3.61328E-02
-9.9665200E-05,6.83594E-03
-9.9656000E-05,7.51953E-02
-9.9646800E-05,1.66016E-02
-9.9637600E-05,4.58984E-02
-9.9628400E-05,3.61328E-02
-9.9619200E-05,1.66016E-02
-9.9610000E-05,3.61328E-02
-9.9600800E-05,3.61328E-02
-9.9591600E-05,-2.92969E-03
-9.9582400E-05,3.61328E-02
-9.9573200E-05,6.54297E-02
-9.9564000E-05,3.61328E-02
-9.9554800E-05,-2.92969E-03
-9.9545600E-05,3.61328E-02
-9.9536400E-05,5.56641E-02
-9.9527200E-05,-2.92969E-03
-9.9518000E-05,6.54297E-02
-9.9508800E-05,2.63672E-02
-9.9499600E-05,1.66016E-02
-9.9490400E-05,2.63672E-02
-9.9481200E-05,1.66016E-02
-9.9472000E-05,5.56641E-02
-9.9462800E-05,4.58984E-02
-9.9453600E-05,3.61328E-02
-9.9444400E-05,5.56641E-02
-9.9435200E-05,-2.92969E-03
-9.9426000E-05,2.63672E-02
-9.9416800E-05,4.58984E-02
-9.9407600E-05,1.66016E-02
-9.9398400E-05,3.61328E-02
-9.9389200E-05,6.83594E-03
